displacement_mm,VA1_force_kN,VA2_force_kN,VP2_force_kN,VP6_force_kN
0.0,0.0,0.0,0.0,0.0
0.0070249319,0.4015,0.4015,0.4015,0.4015
0.014049864,0.8029,0.8029,0.8029,0.8029
0.021074796,1.2044,1.2044,1.2044,1.2044
0.028099727,1.6058,1.6058,1.6058,1.6058
0.035124659,2.0288,2.0288,2.0288,2.0288
0.042149591,2.4944,2.4944,2.4944,2.4944
0.049174523,2.96,2.96,2.96,2.96
0.056199455,3.4256,3.4256,3.4256,3.4256
0.063224387,3.8912,3.8912,3.8912,3.8912
0.070249319,4.3568,4.3568,4.3568,4.3568
0.07727425,4.8225,4.8225,4.8225,4.8225
0.084299182,5.2881,5.2881,5.2881,5.2881
0.091324114,5.7537,5.7537,5.7537,5.7537
0.098349046,6.2193,6.2193,6.2193,6.2193
0.10537398,6.5834,6.5834,6.5834,6.5834
0.11239891,6.8689,6.8689,6.8689,6.8689
0.11942384,7.1585,7.1585,7.1585,7.1585
0.12644877,7.5444,7.5444,7.5444,7.5444
0.13347371,7.9303,7.9303,7.9303,7.9303
0.14049864,8.3162,8.3162,8.3162,8.3162
0.14752357,8.7021,8.7021,8.7021,8.7021
0.1545485,9.0879,9.0879,9.0879,9.0879
0.16157343,9.4738,9.4738,9.4738,9.4738
0.16859836,9.8597,9.8597,9.8597,9.8597
0.1756233,10.2456,10.2456,10.2456,10.2456
0.18264823,10.6315,10.6315,10.6315,10.6315
0.18967316,11.0174,11.0174,11.0174,11.0174
0.19669809,11.4032,11.4032,11.4032,11.4032
0.20372302,11.7891,11.7891,11.7891,11.7891
0.21074796,12.175,12.175,12.175,12.175
0.21777289,12.5609,12.5609,12.5609,12.5609
0.22479782,12.9468,12.9468,12.9468,12.9468
0.23182275,13.3326,13.3326,13.3326,13.3326
0.23884768,13.7065,13.7065,13.7065,13.7065
0.24587261,14.0565,14.0565,14.0565,14.0565
0.25289755,14.4064,14.4064,14.4064,14.4064
0.25992248,14.7564,14.7564,14.7564,14.7564
0.26694741,15.1064,15.1064,15.1064,15.1064
0.27397234,15.4564,15.4564,15.4564,15.4564
0.28099727,15.8064,15.8064,15.8064,15.8064
0.28802221,16.1563,16.1563,16.1563,16.1563
0.29504714,16.5063,16.5063,16.5063,16.5063
0.30207207,16.8563,16.8563,16.8563,16.8563
0.309097,17.2063,17.2063,17.2063,17.2063
0.31612193,17.6485,17.6402,17.6485,17.6485
0.32314687,18.0974,18.0802,18.0974,18.0974
0.3301718,18.5306,18.5202,18.5306,18.5306
0.33719673,18.8172,18.7189,18.8172,18.8172
0.34422166,19.1038,18.9888,19.1038,19.1038
0.35124659,19.3904,19.286,19.3904,19.3904
0.35827152,19.677,19.5832,19.677,19.677
0.36529646,19.9635,19.8804,19.9635,19.9635
0.37232139,20.2501,20.1776,20.2501,20.2501
0.37934632,20.5367,20.4748,20.5367,20.5367
0.38637125,20.8233,20.772,20.8233,20.8233
0.39339618,21.1099,21.0692,21.1099,21.1099
0.40042112,21.3965,21.3664,21.3965,21.3965
0.40744605,21.683,21.6636,21.683,21.683
0.41447098,21.9696,21.9608,21.9696,21.9696
0.42149591,22.2375,22.2375,22.2375,22.2375
0.42852084,22.3167,22.3167,22.3167,22.3167
0.43554577,22.3895,22.3895,22.3895,22.3895
0.44257071,22.6594,22.6594,22.6594,22.6594
0.44959564,22.867,22.867,23.221,23.2026
0.45662057,23.0017,23.0017,24.1091,24.0487
0.4636455,23.3023,23.3023,24.1257,24.057
0.47067043,23.6029,23.6029,24.1422,24.0653
0.47769537,23.9035,23.9035,24.1588,24.0736
0.4847203,23.9075,23.9122,24.1753,24.0819
0.49174523,23.9046,23.9142,24.1919,24.0901
0.49877016,23.9018,23.9161,24.2084,24.0984
0.50579509,23.9226,23.918,24.225,24.1067
0.51282003,24.0168,23.92,24.2901,24.1216
0.51984496,24.0356,23.9219,24.5018,24.1568
0.52686989,24.1822,24.0095,24.5508,24.1919
0.53389482,24.4049,24.2509,24.5978,24.227
0.54091975,24.4083,24.3863,24.6448,24.2621
0.54794468,24.4117,24.4004,24.6919,24.4381
0.55496962,24.4151,24.4146,24.7389,24.6094
0.56199455,24.5338,24.4735,24.7859,24.3978
0.56901948,24.554,24.5351,24.833,24.4249
0.57604441,24.5741,24.5966,24.88,24.4522
