displacement_mm,RD2_force_kN,RD5_force_kN,RD6_force_kN,RD7_force_kN,RD8_force_kN,TD2_force_kN,TD3_force_kN,TD4_force_kN,TD6_force_kN,TD7_force_kN
0,0,0,0,0,0,0,0,0,0,0
0.0070249319,0.60853472,0.60853472,0.60853472,0.60853472,0.60853472,0.60853472,0.60853472,0.60853472,0.60853472,0.60853472
0.014049864,1.2170694,1.2170694,1.2170694,1.2170694,1.2170694,1.2170694,1.2170694,1.2170694,1.2170694,1.2170694
0.021074796,1.8256042,1.8256042,1.8256042,1.8256042,1.8256042,1.8256042,1.8256042,1.8256042,1.8256042,1.8256042
0.028099727,2.4341389,2.4341389,2.4341389,2.4341389,2.4341389,2.4341389,2.4341389,2.4341389,2.4341389,2.4341389
0.035124659,3.0426736,3.0426736,3.0426736,3.0426736,3.0426736,3.0426736,3.0426736,3.0426736,3.0426736,3.0426736
0.042149591,3.6512083,3.6512083,3.6512083,3.6512083,3.6512083,3.6512083,3.6512083,3.6512083,3.6512083,3.6512083
0.049174523,4.2597431,4.2597431,4.2597431,4.2597431,4.2597431,4.2597431,4.2597431,4.2597431,4.2597431,4.2597431
0.056199455,4.8895381,4.8895381,4.8895381,4.8895381,4.8895381,4.8895381,4.8895381,4.8895381,4.8895381,4.8895381
0.063224387,5.5257335,5.5257335,5.5257335,5.5257335,5.5257335,5.5257335,5.5257335,5.5257335,5.5257335,5.5257335
0.070249319,6.1619289,6.1619289,6.1619289,6.1619289,6.1619289,6.1619289,6.1619289,6.1619289,6.1619289,6.1619289
0.07727425,6.7981243,6.7981243,6.7981243,6.7981243,6.7981243,6.7981243,6.7981243,6.7981243,6.7981243,6.7981243
0.084299182,7.4343197,7.4343197,7.4343197,7.4343197,7.4343197,7.4343197,7.4343197,7.4343197,7.4343197,7.4343197
0.091324114,8.0705151,8.0705151,8.0705151,8.0705151,8.0705151,8.0705151,8.0705151,8.0705151,8.0705151,8.0705151
0.098349046,8.7067105,8.7067105,8.7067105,8.7067105,8.7067105,8.7067105,8.7067105,8.7067105,8.7067105,8.7067105
0.10537398,9.3429059,9.3429059,9.3429059,9.3429059,9.3429059,9.3429059,9.3429059,9.3429059,9.3429059,9.3429059
0.11239891,9.9791013,9.9791013,9.9791013,9.9791013,9.9791013,9.9791013,9.9791013,9.9791013,9.9791013,9.9791013
0.11942384,10.615297,10.615297,10.615297,10.615297,10.615297,10.615297,10.615297,10.615297,10.615297,10.615297
0.12644877,11.251492,11.251492,11.251492,11.251492,11.251492,11.251492,11.251492,11.251492,11.251492,11.251492
0.13347371,11.887687,11.887687,11.887687,11.887687,11.887687,11.887687,11.887687,11.887687,11.887687,11.887687
0.14049864,12.523883,12.523883,12.523883,12.523883,12.523883,12.523883,12.523883,12.523883,12.523883,12.523883
0.14752357,13.160078,13.160078,13.160078,13.160078,13.160078,13.160078,13.160078,13.160078,13.160078,13.160078
0.1545485,13.796274,13.796274,13.796274,13.796274,13.796274,13.796274,13.796274,13.796274,13.796274,13.796274
0.16157343,14.432469,14.432469,14.432469,14.432469,14.432469,14.432469,14.432469,14.432469,14.432469,14.432469
0.16859836,15.068664,15.068664,15.068664,15.068664,15.068664,15.068664,15.068664,15.068664,15.068664,15.068664
0.1756233,15.70486,15.70486,15.70486,15.70486,15.70486,15.70486,15.70486,15.70486,15.70486,15.70486
0.18264823,16.341055,16.341055,16.341055,16.341055,16.341055,16.341055,16.341055,16.341055,16.341055,16.341055
0.18967316,16.977251,16.977251,16.977251,16.977251,16.977251,16.977251,16.977251,16.977251,16.977251,16.977251
0.19669809,17.613446,17.613446,17.613446,17.613446,17.613446,17.613446,17.613446,17.613446,17.613446,17.613446
0.20372302,18.23248,18.23248,18.23248,18.23248,18.23248,18.23248,18.23248,18.23248,18.23248,18.23248
0.21074796,18.638169,18.638169,18.638169,18.638169,18.638169,18.638169,18.638169,18.638169,18.638169,18.638169
0.21777289,19.043859,19.043859,19.043859,19.043859,19.043859,19.043859,19.043859,19.043859,19.043859,19.043859
0.22479782,19.449549,19.449549,19.449549,19.449549,19.449549,19.449549,19.449549,19.449549,19.449549,19.449549
0.23182275,19.855239,19.855239,19.855239,19.855239,19.855239,19.855239,19.855239,19.855239,19.855239,19.855239
0.23884768,20.260929,20.260929,20.260929,20.260929,20.260929,20.260929,20.260929,20.260929,20.260929,20.260929
0.24587261,20.387804,20.396405,20.386356,20.415876,20.388501,20.440921,20.419372,20.430544,20.446406,20.405829
0.25289755,20.36515,20.386965,20.361477,20.436349,20.366919,20.499871,20.445215,20.473552,20.513782,20.410866
0.25992248,20.34249,20.377519,20.336604,20.456823,20.345344,20.558828,20.471058,20.51656,20.581165,20.415903
0.26694741,20.319826,20.368069,20.311735,20.477296,20.323772,20.617789,20.496901,20.559568,20.648553,20.42094
0.27397234,20.297168,20.358619,20.286866,20.497776,20.30219,20.67675,20.522744,20.602576,20.715932,20.425988
0.28099727,20.274513,20.349169,20.261997,20.51826,20.280608,20.735711,20.548587,20.645585,20.783308,20.431034
0.28802221,20.251859,20.339725,20.23712,20.538737,20.259025,20.794665,20.574429,20.688593,20.850683,20.436071
0.29504714,20.229205,20.330285,20.212241,20.55921,20.237443,20.853615,20.600272,20.7316,20.918059,20.441108
0.30207207,20.241535,20.329121,20.216579,20.554243,20.215871,20.863687,20.617561,20.741945,20.97171,20.446145
0.309097,20.275668,20.333115,20.227464,20.53342,20.194297,20.843296,20.603487,20.731931,21.022204,20.451182
0.31612193,20.306099,20.337145,20.238086,20.507258,20.172714,20.81204,20.58998,20.719978,21.063828,20.456219
